Gravité (label)
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé hospitalisé
Blessé hospitalisé
Blessé léger
Blessé hospitalisé
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé hospitalisé
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé hospitalisé
Blessé hospitalisé
Blessé léger
Blessé hospitalisé
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé hospitalisé
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé hospitalisé
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé hospitalisé
Blessé hospitalisé
Blessé hospitalisé
Blessé léger
Blessé hospitalisé
Blessé hospitalisé
Blessé hospitalisé
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé hospitalisé
Tué
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé léger
Tué
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Tué
Blessé hospitalisé
Blessé hospitalisé
Blessé léger
Blessé hospitalisé
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé hospitalisé
Tué
Tué
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé hospitalisé
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé hospitalisé
Tué
Blessé léger
Blessé hospitalisé
Blessé hospitalisé
Blessé hospitalisé
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé hospitalisé
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé hospitalisé
Blessé hospitalisé
Blessé léger
Tué
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé hospitalisé
Blessé hospitalisé
Tué
Blessé hospitalisé
Blessé léger
Blessé hospitalisé
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Tué
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé hospitalisé
Tué
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé hospitalisé
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé hospitalisé
Blessé léger
Tué
Blessé léger
Blessé hospitalisé
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé hospitalisé
Blessé hospitalisé
Blessé hospitalisé
Blessé hospitalisé
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé léger
Tué
Blessé léger
Tué
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé léger
Tué
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé hospitalisé
Blessé hospitalisé
Blessé hospitalisé
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé hospitalisé
Blessé hospitalisé
Blessé léger
Blessé léger
Tué
Blessé hospitalisé
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé hospitalisé
Blessé hospitalisé
Tué
Blessé léger
Blessé hospitalisé
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé hospitalisé
Tué
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé léger
Tué
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé hospitalisé
Blessé hospitalisé
Blessé léger
Blessé léger
Tué
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé hospitalisé
Blessé hospitalisé
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé léger
Tué
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé hospitalisé
Blessé hospitalisé
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé léger
Tué
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé hospitalisé
Blessé hospitalisé
Blessé hospitalisé
Blessé léger
Tué
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé hospitalisé
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé hospitalisé
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé hospitalisé
Blessé hospitalisé
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé hospitalisé
Blessé hospitalisé
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé léger
Tué
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé hospitalisé
Blessé hospitalisé
Tué
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé hospitalisé
Blessé hospitalisé
Blessé hospitalisé
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé léger
Tué
Tué
Tué
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé hospitalisé
Tué
Blessé léger
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé hospitalisé
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé hospitalisé
Blessé hospitalisé
Blessé hospitalisé
Tué
Blessé hospitalisé
Blessé léger
Blessé hospitalisé
Blessé hospitalisé
Blessé hospitalisé
Blessé hospitalisé
Tué
Blessé léger
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé hospitalisé
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé léger
Tué
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé léger
Tué
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé hospitalisé
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé léger
Tué
Blessé léger
Blessé hospitalisé
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé hospitalisé
Blessé léger
Blessé hospitalisé
Blessé hospitalisé
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé hospitalisé
Blessé léger
Tué
Blessé hospitalisé
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé hospitalisé
Blessé hospitalisé
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé léger
Tué
Blessé léger
Blessé hospitalisé
Blessé hospitalisé
Blessé hospitalisé
Blessé léger
Blessé hospitalisé
Blessé hospitalisé
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé hospitalisé
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé léger
Tué
Blessé léger
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé hospitalisé
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé hospitalisé
Blessé léger
Blessé léger
Tué
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Tué
Blessé hospitalisé
Blessé hospitalisé
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé hospitalisé
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé hospitalisé
Tué
Blessé hospitalisé
Blessé léger
Blessé léger
Tué
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé hospitalisé
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé léger
Blessé hospitalisé
Tué
Blessé léger
Blessé léger
Blessé léger
Tué
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé hospitalisé
Tué
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé hospitalisé
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Tué
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé hospitalisé
Blessé léger
Tué
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé léger
Tué
Blessé léger
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé hospitalisé
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé léger
Tué
Blessé léger
Blessé léger
Blessé léger
Tué
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé hospitalisé
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé hospitalisé
Blessé hospitalisé
Blessé léger
Blessé hospitalisé
Tué
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé hospitalisé
Blessé hospitalisé
Blessé léger
Blessé hospitalisé
Blessé léger
Tué
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Tué
Blessé léger
Tué
Blessé hospitalisé
Blessé hospitalisé
Blessé léger
Tué
Blessé léger
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé léger
Tué
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé hospitalisé
Blessé hospitalisé
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé hospitalisé
Tué
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé hospitalisé
Tué
Blessé léger
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé hospitalisé
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé léger
Tué
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé hospitalisé
Tué
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Blessé léger
Tué
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé hospitalisé
Blessé léger
Blessé léger
